ID,Hit
MARIO,Y
DONKEY_KONG,N
LINK,Y
SAMUS,Y
DARK_SAMUS,Y
YOSHI,Y
KIRBY,Y
FOX,Y
PIKACHU,Y
LUIGI,Y
NESS,Y
CAPTAIN_FALCON,Y
JIGGLYPUFF,Y
PEACH,Y
DAISY,Y
BOWSER,Y
ICE_CLIMBERS,Y
SHEIK,Y
ZELDA,Y
DR_MARIO,Y
PICHU,Y
FALCO,Y
MARTH,Y
LUCINA,Y
YOUNG_LINK,Y
GANONDORF,N
MEWTWO,Y
ROY,Y
CHROM,Y
MR_GAME_AND_WATCH,Y
META_KNIGHT,Y
PIT,Y
DARK_PIT,Y
ZERO_SUIT_SAMUS,Y
WARIO,Y
SNAKE,N
IKE,N
POKEMON_TRAINER_SQUIRTLE,Y
POKEMON_TRAINER_IVYSAUR,Y
POKEMON_TRAINER_CHARIZARD,Y
DIDDY_KONG,N
LUCAS,Y
SONIC,Y
KING_DEDEDE,Y
OLIMAR,Y
LUCARIO,Y
R_O_B,Y
TOON_LINK,Y
WOLF,Y
VILLAGER,Y
MEGA_MAN,Y
WII_FIT_TRAINER,Y
ROSALINA_AND_LUMA,Y
LITTLE_MAC,Y
GRENINJA,N
PALUTENA,N
PAC_MAN,Y
ROBIN,Y
SHULK,Y
BOWSER_JR,Y
DUCK_HUNT,Y
RYU,Y
KEN,Y
CLOUD,N
CORRIN,Y
BAYONETTA,Y
INKLING,Y
RIDLEY,N
SIMON,Y
RICHTER,Y
KING_K_ROOL,N
ISABELLE,Y
INCINEROAR,N
PIRANHA_PLANT,Y
JOKER,While Pulling-up
HERO,Y
TERRY,Y
BANJO_AND_KAZOOIE,While Pulling-up
MII_BRAWLER,Y
MII_SWORDFIGHTER,Y
MII_GUNNER,Y